,date,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - 4 hours to decision,Type 2 Departments - 4 hours to decision,Type 3 Departments - 4 hours to decision,Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E in 4 hours,Emergency Admissions via Type 2 A&E in 4 hours,Emergency Admissions via Type 3 and 4 A&E in 4 hours,Other Emergency admissions (i.e not via A&E),Number of patients spending >12 hours from decision to admit to admission,month,year,lat,lon
37,2010-11-01,Carfax Health Enterprise,0.0,0.0,2096.0,2096.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
38,2010-11-01,Central And Eastern Cheshire Primary Care Trust,0.0,0.0,470.0,470.0,0.0,0.0,0.0,4.0,0.0,0.0,42.0,0.0,0.0,44.0,8040.0,54.32599999999999,-2.7449999999999997
39,2010-11-01,Central Lancashire Primary Care Trust,0.0,0.0,1326.0,1326.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,54.32599999999999,-2.7449999999999997
40,2010-11-01,Central Manchester University Hospitals NHS Foundation Trust,13266.0,2346.0,0.0,15612.0,557.0,1.0,0.0,3.858188726221068,2587.0,164.0,0.0,283.0,0.0,44.0,8040.0,54.32599999999999,-2.7449999999999997
41,2010-11-01,Chelsea And Westminster Hospital NHS Foundation Trust,8983.0,0.0,0.0,8983.0,141.0,0.0,0.0,3.937469619530528,1308.0,0.0,0.0,209.0,0.0,44.0,8040.0,51.48399999999998,-0.18199999999999997
42,2010-11-01,Cheshire And Wirral Partnership NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,53.16666667,-2.5833333300000003
43,2010-11-01,Chesterfield Royal Hospital NHS Foundation Trust,4705.0,0.0,0.0,4705.0,100.0,0.0,0.0,3.9157730884970414,1321.0,0.0,0.0,894.0,0.0,44.0,8040.0,53.23590000000003,-1.3969
44,2010-11-01,Christie Hospital NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,44.0,8040.0,,
45,2010-11-01,City And Hackney Teaching PCT,0.0,0.0,970.0,970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,54.4858,-0.6205999999999999
46,2010-11-01,City Hospitals Sunderland NHS Foundation Trust,4764.0,2054.0,1620.0,8438.0,346.0,0.0,76.0,3.801252505584909,1898.0,12.0,0.0,722.0,0.0,44.0,8040.0,54.4858,-0.6205999999999999
47,2010-11-01,Colchester Hospital University NHS Foundation Trust,5260.0,0.0,0.0,5260.0,67.0,0.0,0.0,3.949218061226461,1258.0,0.0,0.0,844.0,0.0,44.0,8040.0,51.89169999999996,0.903
48,2010-11-01,Cornwall And Isles Of Scilly Primary Care Trust,0.0,0.0,7355.0,7355.0,0.0,0.0,5.0,3.9973118143473583,0.0,0.0,10.0,74.0,0.0,44.0,8040.0,50.40000000000001,-4.899999999999999
49,2010-11-01,Countess Of Chester Hospital NHS Foundation Trust,5352.0,0.0,0.0,5352.0,149.0,0.0,0.0,3.885523285674528,1377.0,0.0,0.0,448.0,0.0,44.0,8040.0,53.208611109999985,-2.8986111099999996
50,2010-11-01,County Durham And Darlington NHS Foundation Trust,8819.0,0.0,604.0,9423.0,147.0,0.0,0.0,3.9378360421733913,2781.0,0.0,0.0,1711.0,0.0,44.0,8040.0,,
51,2010-11-01,Coventry And Warwickshire Partnership NHS Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,71.0,0.0,44.0,8040.0,52.40805556,-1.51055556
52,2010-11-01,Coventry NHS Healthcare Ctr,0.0,0.0,3257.0,3257.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.40805556,-1.51055556
53,2010-11-01,Crown Health Centre,0.0,0.0,1572.0,1572.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
54,2010-11-01,Croydon Health Services NHS Trust,8820.0,360.0,476.0,9656.0,129.0,0.0,0.0,3.946781358201496,1995.0,0.0,0.0,205.0,0.0,44.0,8040.0,51.50722222000001,-0.12750000000000003
55,2010-11-01,Cumbria Teaching Primary Care Trust,0.0,0.0,4841.0,4841.0,0.0,0.0,23.0,3.9806148292341565,0.0,0.0,110.0,0.0,0.0,44.0,8040.0,,
56,2010-11-01,Dagenham Walk In Centre,0.0,0.0,1568.0,1568.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,50.849999999999994,-1.1800000000000006
57,2010-11-01,Darlington Primary Care Trust,0.0,0.0,7606.0,7606.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,54.526999999999994,-1.5525999999999993
58,2010-11-01,Dartford And Gravesham NHS Trust,6902.0,0.0,0.0,6902.0,396.0,0.0,0.0,3.771188910366544,1691.0,0.0,0.0,162.0,0.0,44.0,8040.0,51.44,0.21999999999999995
59,2010-11-01,Derby City Primary Care Trust,0.0,0.0,3721.0,3721.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.91666667,-1.4666666699999995
60,2010-11-01,Derby Hospitals NHS Foundation Trust,8320.0,0.0,0.0,8320.0,367.0,0.0,0.0,3.8235586193835767,2526.0,0.0,0.0,1501.0,0.0,44.0,8040.0,52.91666667,-1.4666666699999995
61,2010-11-01,Derby Open Access Centre,0.0,0.0,3390.0,3390.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.91666667,-1.4666666699999995
62,2010-11-01,Derbyshire County Primary Care Trust,0.0,0.0,3345.0,3345.0,0.0,0.0,15.0,3.982325098138252,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,53.133333329999985,-1.6
63,2010-11-01,Derbyshire Health United Ltd (North High Peak Urgent Care Centre),0.0,0.0,845.0,845.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,53.133333329999985,-1.6
64,2010-11-01,Devon Primary Care Trust,0.0,0.0,9829.0,9829.0,0.0,0.0,4.0,3.998440996373581,0.0,0.0,8.0,149.0,0.0,44.0,8040.0,50.71666667,-3.7166666699999995
65,2010-11-01,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,9928.0,0.0,2251.0,12179.0,317.0,0.0,0.0,3.8956251375920976,2159.0,0.0,113.0,1018.0,0.0,44.0,8040.0,53.51499999999999,-1.1329999999999996
66,2010-11-01,Dorset County Hospital NHS Foundation Trust,2716.0,0.0,0.0,2716.0,84.0,0.0,0.0,3.878067998300851,764.0,0.0,0.0,508.0,0.0,44.0,8040.0,50.800000000000004,-2.299999999999999
67,2010-11-01,Dorset Primary Care Trust,0.0,0.0,2854.0,2854.0,0.0,0.0,1.0,3.9987244897959178,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,50.800000000000004,-2.299999999999999
68,2010-11-01,Dudley Borough Walk In Centre,0.0,0.0,3344.0,3344.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.507999999999996,-2.0890000000000004
69,2010-11-01,Ealing Hospital NHS Trust,6152.0,0.0,0.0,6152.0,213.0,0.0,0.0,3.863891374764532,1571.0,0.0,0.0,36.0,0.0,44.0,8040.0,51.506944439999984,-0.34555555999999993
70,2010-11-01,Ealing Mini UCC,0.0,0.0,1229.0,1229.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,54.526999999999994,-1.5525999999999993
71,2010-11-01,East And North Hertfordshire NHS Trust,9789.0,700.0,946.0,11435.0,392.0,0.0,0.0,3.8637948885329236,2082.0,0.0,0.0,630.0,0.0,44.0,8040.0,,
72,2010-11-01,East Cheshire NHS Trust,3496.0,0.0,414.0,3910.0,121.0,0.0,0.0,3.8757437324886816,1063.0,0.0,0.0,315.0,0.0,44.0,8040.0,,
73,2010-11-01,East Kent Hospitals University NHS Foundation Trust,10558.0,0.0,4906.0,15464.0,472.0,0.0,16.0,3.8740868588946467,2875.0,0.0,1454.0,756.0,0.0,44.0,8040.0,,
74,2010-11-01,East Lancashire Hospitals NHS Trust,3618.0,0.0,7399.0,11017.0,94.0,0.0,19.0,3.9589731047627215,2567.0,0.0,122.0,1420.0,0.0,44.0,8040.0,,
75,2010-11-01,East Lancashire Primary Care Trust,0.0,0.0,3223.0,3223.0,0.0,0.0,2.0,3.997576813686016,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
76,2010-11-01,East Riding Of Yorkshire Primary Care Trust,0.0,0.0,722.0,722.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,53.91666667,-0.5
77,2010-11-01,East Sussex Downs And Weald Primary Care Trust,0.0,0.0,1788.0,1788.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
78,2010-11-01,East Sussex Hospitals NHS Trust,7175.0,1327.0,0.0,8502.0,337.0,0.0,0.0,3.841638683387515,1797.0,0.0,0.0,1096.0,0.0,44.0,8040.0,,
79,2010-11-01,Eastern And Coastal Kent Primary Care Trust,0.0,0.0,5400.0,5400.0,0.0,0.0,1.0,3.999237223493517,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,53.19000000000001,-2.8899999999999997
80,2010-11-01,Encompass GP Practice 2,0.0,0.0,1715.0,1715.0,0.0,0.0,2.0,2.996436305298301,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
81,2010-11-01,Epsom And St Helier University Hospitals NHS Trust,10217.0,526.0,0.0,10743.0,320.0,0.0,0.0,3.880632562857479,2491.0,3.0,0.0,344.0,0.0,44.0,8040.0,51.89400000000001,-0.47399999999999987
82,2010-11-01,Frimley Park Hospital NHS Foundation Trust,7180.0,271.0,0.0,7451.0,238.0,0.0,0.0,3.873330068049112,1783.0,0.0,0.0,445.0,0.0,44.0,8040.0,51.31430000000002,-0.7386999999999998
83,2010-11-01,GP Walk In Health Centre Service,194.0,0.0,526.0,720.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
84,2010-11-01,Gateshead Health NHS Foundation Trust,4602.0,0.0,0.0,4602.0,61.0,0.0,0.0,3.94624251523902,1028.0,0.0,0.0,684.0,0.0,44.0,8040.0,54.94999999999999,-1.6
85,2010-11-01,Gateshead Primary Care Trust,0.0,0.0,3427.0,3427.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,54.94999999999999,-1.6
86,2010-11-01,George Eliot Hospital NHS Trust,4865.0,0.0,386.0,5251.0,93.0,0.0,0.0,3.929078748995472,1012.0,0.0,0.0,111.0,0.0,44.0,8040.0,52.51080000000001,-1.4757000000000002
87,2010-11-01,Gloucestershire Hospitals NHS Foundation Trust,8673.0,0.0,0.0,8673.0,296.0,0.0,0.0,3.863181092767375,2781.0,0.0,0.0,972.0,0.0,44.0,8040.0,51.833333329999995,-2.16666667
88,2010-11-01,Gloucestershire Primary Care Trust,0.0,0.0,5333.0,5333.0,0.0,0.0,11.0,3.991704384599281,0.0,0.0,9.0,108.0,0.0,44.0,8040.0,51.86527778000001,-2.23055556
89,2010-11-01,Great Western Hospitals NHS Foundation Trust,4924.0,0.0,0.0,4924.0,120.0,0.0,0.0,3.902546452481653,1246.0,0.0,0.0,900.0,0.0,44.0,8040.0,,
90,2010-11-01,Great Yarmouth And Waveney Primary Care Trust,0.0,0.0,380.0,380.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
91,2010-11-01,Greenwich Teaching Primary Care Trust,0.0,0.0,1283.0,1283.0,0.0,0.0,54.0,2.8703220598814148,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.629999999999995,1.2969999999999997
